year,type,alat_tangkap,jumlah,,,,,
2021,manyung,jaring_insang,19.6,,,,,
2021,cumi_cumi,jaring_insang,0,,,,,
2021,bawal_hitam,jaring_insang,,,,,,
2021,beloso,jaring_insang,0,,,,,
2021,ekor_kuning,jaring_insang,3314,,,,,
2021,rajungan,jaring_insang,70120,,,,,
2021,kurisi,jaring_insang,0,,,,,
2021,pari,jaring_insang,10881,,,,,
2021,layaran,jaring_insang,0,,,,,
2021,sotong,jaring_insang,3278,,,,,
2021,bawal_putih,jaring_insang,0,,,,,
2021,gulamah,jaring_insang,25973,,,,,
2021,ikan_sebelah,jaring_insang,0,,,,,
2021,kuniran,jaring_insang,0,,,,,
2021,udang_jerbung,jaring_insang,0,,,,,
2021,japuh,jaring_insang,0,,,,,
2021,tetengkek,jaring_insang,0,,,,,
2021,cendro,jaring_insang,0,,,,,
2021,golok_golok,jaring_insang,0,,,,,
2021,talang_talang,jaring_insang,0,,,,,
2021,kerong_kerong,jaring_insang,,,,,,
2021,gurita,jaring_insang,,,,,,
2021,bentong,jaring_insang,,,,,,
2021,selanget,jaring_insang,0,,,,,
2021,gerot_gerot,jaring_insang,129.8,,,,,
2021,kakap_putih,jaring_insang,0,,,,,
2021,udang_lainnya,jaring_insang,0,,,,,
2021,beronang,jaring_insang,50,,,,,
2021,kuro,jaring_insang,0,,,,,
2021,alu_alu,jaring_insang,0,,,,,
2021,teri_nasi,jaring_insang,0,,,,,
2021,ikan_terbang,jaring_insang,0,,,,,
2021,semar,jaring_insang,0,,,,,
2021,jenaha,jaring_insang,0,,,,,
2021,udang_dogol,jaring_insang,,,,,,
2021,sembilang,jaring_insang,4006,,,,,
2021,udang_kipas,jaring_insang,4294,,,,,
2021,layur,sero,0,,,,,
2021,layang,sero,0,,,,,
2021,siro,sero,0,,,,,
2021,teri,sero,0,,,,,
2021,tenggiri,sero,0,,,,,
2021,tongkol,sero,0,,,,,
2021,tembang,sero,0,,,,,
2021,belanak,sero,0,,,,,
2021,kembung,sero,0,,,,,
2021,peperek,sero,0,,,,,
2021,cucut,sero,0,,,,,
2021,selar,sero,0,,,,,
2021,udang_krosok,sero,0,,,,,
2021,kerapu,sero,0,,,,,
2021,kakap_merah,sero,0,,,,,
2021,kwe,sero,0,,,,,
2021,manyung,sero,,,,,,
2021,cumi_cumi,sero,0,,,,,
2021,bawal_hitam,sero,,,,,,
2021,beloso,sero,0,,,,,
2021,ekor_kuning,sero,0,,,,,
2021,rajungan,sero,0,,,,,
2021,kurisi,sero,0,,,,,
2021,pari,sero,0,,,,,
2021,layaran,sero,0,,,,,
2021,sotong,sero,0,,,,,
2021,bawal_putih,sero,0,,,,,
2021,gulamah,sero,0,,,,,
2021,ikan_sebelah,sero,0,,,,,
2021,kuniran,sero,0,,,,,
2021,udang_jerbung,sero,0,,,,,
2021,japuh,sero,0,,,,,
2021,tetengkek,sero,0,,,,,
2021,cendro,sero,0,,,,,
2021,golok_golok,sero,0,,,,,
2021,talang_talang,sero,0,,,,,
2021,kerong_kerong,sero,,,,,,
2021,gurita,sero,,,,,,
2021,bentong,sero,,,,,,
2021,selanget,sero,0,,,,,
2021,gerot_gerot,sero,0,,,,,
2021,kakap_putih,sero,0,,,,,
2021,udang_lainnya,sero,0,,,,,
2021,beronang,sero,0,,,,,
2021,kuro,sero,0,,,,,
2021,alu_alu,sero,0,,,,,
2021,teri_nasi,sero,0,,,,,
2021,ikan_terbang,sero,0,,,,,
2021,semar,sero,0,,,,,
2021,jenaha,sero,0,,,,,
2021,udang_dogol,sero,,,,,,
2021,sembilang,sero,0,,,,,
2021,udang_kipas,sero,201,,,,,
2021,layur,lainnya,0,,,,,
2021,layang,lainnya,0,,,,,
2021,siro,lainnya,0,,,,,
2021,teri,lainnya,6586,,,,,
2021,tenggiri,lainnya,853.3,,,,,
2021,tongkol,lainnya,0,,,,,
2021,tembang,lainnya,2257.5,,,,,
2021,belanak,lainnya,482,,,,,
2021,kembung,lainnya,325.6,,,,,
2021,peperek,lainnya,373592.2,,,,,
2021,cucut,lainnya,2.7,,,,,
2021,selar,lainnya,8836.9,,,,,
2021,udang_krosok,lainnya,25275,,,,,
2021,kerapu,lainnya,15,,,,,
2021,kakap_merah,lainnya,0,,,,,
2021,kwe,lainnya,142.9,,,,,
